fips,stname,Ctyname,cases_2018,ststatus,pop_2018,pct_uninsured,incidence_2018,active_months_10c,mean_annual_temp_c
25023,Massachussetts,Plymouth County,2,High Incidenc,518132,2.8,0.3860020226505987,6,10.84
25025,Massachussetts,Suffolk County,11,High Incidenc,807252,4.4,1.362647599510438,6,10.83
25027,Massachussetts,Worcester County,1,High Incidenc,830839,3.1,0.12036026233722778,5,9.46
27001,Minnesota,Aitkin County,18,High Incidenc,15902,7.2,113.19330901773364,5,4.04
27003,Minnesota,Anoka County,94,High Incidenc,353813,4.4,26.567706669907547,5,6.35
27005,Minnesota,Becker County,34,High Incidenc,34371,6.7,98.9206016700125,5,3.83
27007,Minnesota,Beltrami County,35,High Incidenc,46847,8.5,74.71129421307661,5,3.37
27009,Minnesota,Benton County,7,High Incidenc,40545,4.5,17.26476754223702,5,5.49
27011,Minnesota,Big Stone County,0,High Incidenc,4989,5.9,0,5,6.23
27013,Minnesota,Blue Earth County,5,High Incidenc,67427,4.5,7.415427054444066,5,6.78
27015,Minnesota,Brown County,0,High Incidenc,25111,4.2,0,5,6.57
27017,Minnesota,Carlton County,33,High Incidenc,35837,5,92.08360074783045,5,3.61
27019,Minnesota,Carver County,12,High Incidenc,103551,3,11.588492626821566,5,6.69
27021,Minnesota,Cass County,53,High Incidenc,29519,9.5,179.54537755344015,5,4.31
27023,Minnesota,Chippewa County,0,High Incidenc,11924,6.3,0,5,6.49
27025,Minnesota,Chisago County,25,High Incidenc,55922,3.9,44.70512499552949,5,6.01
27027,Minnesota,Clay County,8,High Incidenc,63955,4.5,12.508795246657806,5,4.62
27029,Minnesota,Clearwater County,8,High Incidenc,8810,8.1,90.80590238365494,5,3.41
27031,Minnesota,Cook County,1,High Incidenc,5393,8.2,18.542555164101618,5,1.89
27033,Minnesota,Cottonwood County,1,High Incidenc,11277,6.7,8.86760663296976,5,6.12
27035,Minnesota,Crow Wing County,84,High Incidenc,64889,5.6,129.45183313042273,5,4.7
27037,Minnesota,Dakota County,73,High Incidenc,425423,4,17.159391946368675,5,6.94
27039,Minnesota,Dodge County,1,High Incidenc,20822,4.1,4.802612621265968,5,6.18
27041,Minnesota,Douglas County,2,High Incidenc,37964,4,5.268148772521336,5,5.31
27043,Minnesota,Faribault County,0,High Incidenc,13758,5.8,0,5,6.73
27045,Minnesota,Fillmore County,10,High Incidenc,21058,7.3,47.48789058790008,5,6.63
27047,Minnesota,Freeborn County,0,High Incidenc,30444,7,0,5,6.4
27049,Minnesota,Goodhue County,19,High Incidenc,46403,4.9,40.945628515397715,5,6.57
27051,Minnesota,Grant County,0,High Incidenc,6021,5.9,0,5,5.69
27053,Minnesota,Hennepin County,187,High Incidenc,1259428,5.6,14.848010366610875,5,6.75
27055,Minnesota,Houston County,11,High Incidenc,18578,4.9,59.20981806437722,5,7.63
27057,Minnesota,Hubbard County,41,High Incidenc,21332,6.9,192.19951246952937,5,3.97
27059,Minnesota,Isanti County,14,High Incidenc,39966,4.6,35.02977530901266,5,5.94
27061,Minnesota,Itasca County,62,High Incidenc,45108,5.5,137.4479028110313,5,3.46
27063,Minnesota,Jackson County,0,High Incidenc,9911,4.5,0,5,6.3
27065,Minnesota,Kanabec County,13,High Incidenc,16207,5.6,80.2122539643364,5,5.25
27067,Minnesota,Kandiyohi County,9,High Incidenc,42855,7.8,21.001050052502624,5,5.93
27069,Minnesota,Kittson County,0,High Incidenc,4248,5.2,0,5,4.02
27071,Minnesota,Koochiching County,4,High Incidenc,12440,6.8,32.154340836012864,5,2.91
27073,Minnesota,Lac qui Parle County,0,High Incidenc,6658,5.5,0,5,6.48
27075,Minnesota,Lake County,14,High Incidenc,10658,4.8,131.35672734096454,5,2.55
27077,Minnesota,Lake of the Woods County,1,High Incidenc,3758,5.8,26.609898882384247,5,3.1
27079,Minnesota,Le Sueur County,1,High Incidenc,28494,5.7,3.5095107741980764,5,6.78
27081,Minnesota,Lincoln County,0,High Incidenc,5673,6.3,0,5,5.77
27083,Minnesota,Lyon County,0,High Incidenc,25629,5.1,0,5,6.24
27085,Minnesota,McLeod County,6,High Incidenc,35873,4.9,16.725671117553592,5,6.38
27087,Minnesota,Mahnomen County,3,High Incidenc,5519,9,54.35767349157456,5,3.48
27089,Minnesota,Marshall County,6,High Incidenc,9390,6.5,63.89776357827476,5,3.71
27091,Minnesota,Martin County,0,High Incidenc,19785,4.9,0,5,6.56
27093,Minnesota,Meeker County,5,High Incidenc,23141,5.4,21.60667214035694,5,5.84
27095,Minnesota,Mille Lacs County,14,High Incidenc,26139,7.2,53.55981483606871,5,5.27
27097,Minnesota,Morrison County,11,High Incidenc,33169,6.6,33.16349603545479,5,5.1
27099,Minnesota,Mower County,2,High Incidenc,40011,6.5,4.998625378021044,5,6.34
27101,Minnesota,Murray County,0,High Incidenc,8276,6.6,0,5,5.8
27103,Minnesota,Nicollet County,3,High Incidenc,34220,4.2,8.766803039158386,5,6.98
27105,Minnesota,Nobles County,0,High Incidenc,21924,10.9,0,5,6.22
27107,Minnesota,Norman County,3,High Incidenc,6475,6.1,46.33204633204633,5,4.15
27109,Minnesota,Olmsted County,26,High Incidenc,156277,4,16.637125104781894,5,6.39
27111,Minnesota,Otter Tail County,28,High Incidenc,58812,5.4,47.60933142896008,5,4.69
27113,Minnesota,Pennington County,2,High Incidenc,14178,4.3,14.10636196924813,5,3.49
27115,Minnesota,Pine County,45,High Incidenc,29483,6.9,152.63032934233289,5,4.75
27117,Minnesota,Pipestone County,0,High Incidenc,9047,8.6,0,5,5.86
27119,Minnesota,Polk County,7,High Incidenc,31529,5.3,22.201782485965303,5,3.9
27121,Minnesota,Pope County,0,High Incidenc,11097,5.2,0,5,5.61
27123,Minnesota,Ramsey County,109,High Incidenc,550210,6.2,19.810617764126427,5,6.77
27125,Minnesota,Red Lake County,4,High Incidenc,3999,5.6,100.0250062515629,5,3.61
27127,Minnesota,Redwood County,0,High Incidenc,15249,7.3,0,5,6.38
27129,Minnesota,Renville County,3,High Incidenc,14612,6.7,20.53107035313441,5,6.43
27131,Minnesota,Rice County,10,High Incidenc,66523,6,15.032394810817312,5,6.5
27133,Minnesota,Rock County,0,High Incidenc,9414,4.9,0,5,6.7
27135,Minnesota,Roseau County,7,High Incidenc,15150,5.5,46.2046204620462,5,3.43
27137,Minnesota,St. Louis County,82,High Incidenc,199754,5.2,41.05049210528951,5,2.95
27139,Minnesota,Scott County,22,High Incidenc,147381,3.8,14.927297277125271,5,6.94
27141,Minnesota,Sherburne County,42,High Incidenc,96036,3.6,43.73359990003748,5,5.89
27143,Minnesota,Sibley County,2,High Incidenc,15028,6.4,13.308490817141337,5,6.84
27145,Minnesota,Stearns County,36,High Incidenc,159256,5.3,22.60511377907269,5,5.49
27147,Minnesota,Steele County,4,High Incidenc,36803,4.8,10.868679183762191,5,6.3
27149,Minnesota,Stevens County,2,High Incidenc,9753,5,20.506510817184456,5,5.86
27151,Minnesota,Swift County,1,High Incidenc,9345,6.9,10.700909577314071,5,6.15
27153,Minnesota,Todd County,12,High Incidenc,24582,8.2,48.816206980717595,5,4.93
27155,Minnesota,Traverse County,0,High Incidenc,3308,7.5,0,5,6
27157,Minnesota,Wabasha County,5,High Incidenc,21645,5.5,23.100023100023098,5,6.84
27159,Minnesota,Wadena County,11,High Incidenc,13773,6.3,79.8664052857039,5,4.47
27161,Minnesota,Waseca County,2,High Incidenc,18691,5,10.700337060617407,5,6.36
27163,Minnesota,Washington County,90,High Incidenc,259201,3.2,34.722088263548365,5,6.61
27165,Minnesota,Watonwan County,1,High Incidenc,10980,9.2,9.107468123861567,5,6.52
27167,Minnesota,Wilkin County,0,High Incidenc,6254,4.3,0,5,5.42
27169,Minnesota,Winona County,27,High Incidenc,50825,5.1,53.123462862764384,5,7.28
27171,Minnesota,Wright County,28,High Incidenc,136349,4,20.535537481022963,5,6.14
27173,Minnesota,Yellow Medicine County,0,High Incidenc,9795,5.6,0,5,6.5
33001,New Hampshire,Belknap County,41,High Incidenc,61022,8.3,67.18888269804333,5,7.69
33003,New Hampshire,Carroll County,73,High Incidenc,48779,9.7,149.65456446421618,5,6.67
33005,New Hampshire,Cheshire County,38,High Incidenc,76493,7.6,49.677748290693266,5,8.1
33007,New Hampshire,Coos County,5,High Incidenc,31589,8.8,15.828294659533382,5,4.63
33009,New Hampshire,Grafton County,81,High Incidenc,89786,7.6,90.21451005724724,5,6.09
33011,New Hampshire,Hillsborough County,395,High Incidenc,415247,7.3,95.12410685688278,5,8.84
33013,New Hampshire,Merrimack County,190,High Incidenc,151132,6.9,125.71791546462696,5,7.97
33015,New Hampshire,Rockingham County,351,High Incidenc,309176,5.6,113.52757005718423,5,9
33017,New Hampshire,Strafford County,170,High Incidenc,130090,7.2,130.67876085786764,5,7.99
33019,New Hampshire,Sullivan County,33,High Incidenc,43144,7.5,76.48804005191916,5,7.12
34001,New Jersey,Atlantic County,75,High Incidenc,265429,9.6,28.25614382753957,6,13.28
34003,New Jersey,Bergen County,232,High Incidenc,936692,8.7,24.768013391808623,6,12.07
34005,New Jersey,Burlington County,186,High Incidenc,445384,5.4,41.761715732940566,6,13.17
34007,New Jersey,Camden County,157,High Incidenc,507078,8.1,30.961706088609645,7,13.4
