"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
24033,"Maryland","Prince George's County",16,"High Incidenc",909308,11.1,1.75957981234081,7,13.98,41.5607028381779,0.999999999999866
24035,"Maryland","Queen Anne's County",30,"High Incidenc",50251,5.2,59.7003044715528,7,13.8,23.65633399894,1.00000000000002
24037,"Maryland","St. Mary's County",30,"High Incidenc",112664,5.5,26.6278491798622,7,14.57,50.0006266126217,0.999999999999939
24039,"Maryland","Somerset County",5,"High Incidenc",25675,7.5,19.4741966893866,7,14.95,37.411677600808,0.999999999999929
24041,"Maryland","Talbot County",12,"High Incidenc",36968,7.7,32.4605063838996,7,14.48,25.9185695521385,1.00000000000009
24043,"Maryland","Washington County",36,"High Incidenc",150926,6.2,23.8527490293256,6,12.24,36.2001636881128,0.982646165964578
24045,"Maryland","Wicomico County",11,"High Incidenc",103195,7.9,10.659431173991,7,14.67,40.1797387860278,0.999999999999982
24047,"Maryland","Worcester County",4,"High Incidenc",51823,7,7.7185805530363,7,14.72,43.3394290967043,1.00000000000001
24510,"Maryland","Baltimore city",29,"High Incidenc",602495,7.4,4.81331795284608,7,14.01,16.9369900781023,0.999999999999926
25001,"Massachussetts","Barnstable County",0,"High Incidenc",213413,3.7,0,6,10.81,43.6825489566036,0.999999999999647
25003,"Massachussetts","Berkshire County",0,"High Incidenc",126348,3.5,0,5,7.98,71.5558401881456,0.999999999999941
25005,"Massachussetts","Bristol County",1,"High Incidenc",564022,3.7,0.177298048657676,6,10.91,53.6587870216178,0.990197677343108
25007,"Massachussetts","Dukes County",0,"High Incidenc",17352,3.9,0,6,11.03,46.4454206725373,0.978673532888612
25009,"Massachussetts","Essex County",0,"High Incidenc",790638,3.8,0,5,9.79,39.8218952195348,0.82560501955926
25011,"Massachussetts","Franklin County",0,"High Incidenc",70963,3,0,5,8.95,71.5615609231834,0.999999999995979
25013,"Massachussetts","Hampden County",0,"High Incidenc",470406,3.8,0,6,9.51,62.3063572655089,1.00000000000396
25015,"Massachussetts","Hampshire County",1,"High Incidenc",161355,2.8,0.619751479656658,5,9.18,68.3100456917633,0.999999999986012
25017,"Massachussetts","Middlesex County",0,"High Incidenc",1614714,2.8,0,6,10.13,51.657770911825,1.00000000000303
25019,"Massachussetts","Nantucket County",0,"High Incidenc",11327,4.4,0,6,10.74,0,0
25021,"Massachussetts","Norfolk County",0,"High Incidenc",705388,2.4,0,6,10.64,49.0926560835678,0.953864387938634
25023,"Massachussetts","Plymouth County",2,"High Incidenc",518132,2.8,0.386002022650599,6,10.84,48.782246485575,0.947522797384795
25025,"Massachussetts","Suffolk County",11,"High Incidenc",807252,4.4,1.36264759951044,6,10.83,19.9148999064309,0.762808550569794
25027,"Massachussetts","Worcester County",1,"High Incidenc",830839,3.1,0.120360262337228,5,9.46,64.6247982616056,1.00000000001255
27001,"Minnesota","Aitkin County",18,"High Incidenc",15902,7.2,113.193309017734,5,4.04,40.2791366237095,0.999999999995044
27003,"Minnesota","Anoka County",94,"High Incidenc",353813,4.4,26.5677066699075,5,6.35,17.5554839234503,0.999999999999767
27005,"Minnesota","Becker County",34,"High Incidenc",34371,6.7,98.9206016700125,5,3.83,23.1709394657697,1
27007,"Minnesota","Beltrami County",35,"High Incidenc",46847,8.5,74.7112942130766,5,3.37,33.7294023281741,1.00000000000237
27009,"Minnesota","Benton County",7,"High Incidenc",40545,4.5,17.264767542237,5,5.49,10.0656826937459,1.00000000000001
27011,"Minnesota","Big Stone County",0,"High Incidenc",4989,5.9,0,5,6.23,0.467173661698586,1
27013,"Minnesota","Blue Earth County",5,"High Incidenc",67427,4.5,7.41542705444407,5,6.78,4.38591208460331,1
27015,"Minnesota","Brown County",0,"High Incidenc",25111,4.2,0,5,6.57,2.59890750487794,1.0000000000867
27017,"Minnesota","Carlton County",33,"High Incidenc",35837,5,92.0836007478304,5,3.61,44.7758734814058,0.999999999999999
27019,"Minnesota","Carver County",12,"High Incidenc",103551,3,11.5884926268216,5,6.69,7.62757922042682,1.00000000000001
27021,"Minnesota","Cass County",53,"High Incidenc",29519,9.5,179.54537755344,5,4.31,42.5782302735806,0.999999999998933
27023,"Minnesota","Chippewa County",0,"High Incidenc",11924,6.3,0,5,6.49,1.36616634509072,1
27025,"Minnesota","Chisago County",25,"High Incidenc",55922,3.9,44.7051249955295,5,6.01,19.9617452859101,1
27027,"Minnesota","Clay County",8,"High Incidenc",63955,4.5,12.5087952466578,5,4.62,1.68189505145397,0.999999999999999
27029,"Minnesota","Clearwater County",8,"High Incidenc",8810,8.1,90.8059023836549,5,3.41,29.7406016798557,1
27031,"Minnesota","Cook County",1,"High Incidenc",5393,8.2,18.5425551641016,5,1.89,48.7976016606142,0.856705227171254
27033,"Minnesota","Cottonwood County",1,"High Incidenc",11277,6.7,8.86760663296976,5,6.12,0.648249293603975,0.999999999946141
27035,"Minnesota","Crow Wing County",84,"High Incidenc",64889,5.6,129.451833130423,5,4.7,38.4922097904662,1
27037,"Minnesota","Dakota County",73,"High Incidenc",425423,4,17.1593919463687,5,6.94,9.64039769668323,0.999999999996559
27039,"Minnesota","Dodge County",1,"High Incidenc",20822,4.1,4.80261262126597,5,6.18,3.60285229455934,1
27041,"Minnesota","Douglas County",2,"High Incidenc",37964,4,5.26814877252134,5,5.31,8.07545408449102,0.999999999999998
27043,"Minnesota","Faribault County",0,"High Incidenc",13758,5.8,0,5,6.73,1.79799721132583,1.00000000000175
27045,"Minnesota","Fillmore County",10,"High Incidenc",21058,7.3,47.4878905879001,5,6.63,12.5377702510662,0.999999999999998
27047,"Minnesota","Freeborn County",0,"High Incidenc",30444,7,0,5,6.4,1.74539576018873,0.999999999999996
